#Pos	Phred	A->A	A->C	A->G	A->T	A->N	C->A	C->C	C->G	C->T	C->N	G->A	G->C	G->G	G->T	G->N	T->A	T->C	T->G	T->T	T->N
6	23	1432	21	39	26	0	17	883	18	11	0	19	22	1175	24	0	42	23	25	1152	0
6	24	9	1	1	1	0	1	1	1	1	0	1	1	7	1	0	1	1	1	1	0
6	25	3482	35	55	66	0	50	2023	20	71	0	77	23	2169	65	0	64	53	36	4099	0
6	26	6351	55	86	101	0	84	3375	35	78	0	96	42	3460	78	0	145	93	61	5202	0
6	27	694	10	23	10	0	10	492	14	10	0	21	7	1087	16	0	20	13	13	681	0
6	28	3079	26	60	146	0	40	2095	32	103	0	56	25	2403	149	0	66	53	65	7957	0
6	29	4604	41	74	63	0	49	2373	31	54	0	83	25	2830	30	0	73	62	52	3199	0
6	30	17950	174	270	281	0	223	10049	116	212	0	288	115	11519	219	0	312	261	175	15620	0
6	31	1021	21	53	37	0	13	904	40	27	0	21	14	2003	55	0	22	25	36	2295	0
6	32	27775	246	519	559	0	291	15080	259	453	0	467	152	20669	517	0	491	339	357	33110	0
6	33	41453	410	550	914	0	495	23269	287	778	0	672	256	25029	813	0	778	516	428	52460	0
6	34	1	1	2	1	0	1	3	1	1	0	1	1	29	1	0	1	1	1	1	0
6	35	309179	3038	4998	6497	0	3553	174765	2479	5507	0	5221	2106	219949	5926	0	5627	4195	3961	383486	0
6	36	41853	415	491	1094	0	449	22323	217	863	0	667	262	23752	909	0	822	516	480	63552	0
6	37	1904646	23091	30231	33178	0	23307	1243090	15320	28770	0	29349	15231	1298320	20273	0	35522	30034	23798	1795109	0
7	2	1	1	1	1	2	1	1	1	1	4	1	1	1	1	2	1	1	1	1	6
7	5	1	2	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	5	0
7	6	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	7	0
7	8	83	4	35	2	0	4	65	16	6	0	8	3	84	8	0	5	15	63	148	0
7	10	894	58	108	39	0	71	598	62	33	0	68	30	482	23	0	132	99	133	988	0
7	11	376	6	28	51	0	34	174	12	22	0	33	8	87	26	0	67	24	25	746	0
7	12	2	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	2	1	0
7	14	3	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
7	15	40	3	20	6	0	2	37	12	2	0	1	2	86	11	0	1	1	17	288	0
7	16	206	7	24	2	0	4	175	10	4	0	12	9	330	6	0	8	12	15	113	0
7	17	889	22	77	53	0	16	540	42	39	0	20	7	484	56	0	32	13	71	2930	0
7	18	757	15	27	13	0	16	555	15	5	0	22	19	528	9	0	35	33	14	442	0
7	19	967	11	21	32	0	21	477	8	31	0	23	8	383	10	0	39	39	7	1031	0
7	20	4	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	1	1	9	0
7	21	126	2	6	2	0	4	80	2	2	0	6	1	193	7	0	3	4	7	74	0
7	22	106	1	11	1	0	1	82	2	3	0	4	1	168	2	0	3	4	2	79	0
7	23	1626	24	37	34	0	24	948	13	23	0	34	17	1180	19	0	39	39	23	1221	0
7	24	7	1	2	1	0	1	1	1	1	0	1	1	3	1	0	1	1	1	7	0
7	25	3564	48	37	72	0	35	2152	30	68	0	70	35	2169	59	0	79	60	41	4343	0
7	26	6505	75	77	99	0	81	3502	50	95	0	113	29	3656	64	0	124	95	58	5125	0
7	27	867	13	32	21	0	15	620	9	23	0	20	12	1164	23	0	17	18	18	1311	0
7	28	3158	33	75	133	0	39	2047	39	109	0	52	22	2208	128	0	83	56	54	7536	0
7	29	4754	38	78	70	0	57	2434	27	43	0	85	35	2823	34	0	86	54	44	3287	0
7	30	18148	202	305	286	0	222	10435	120	257	0	285	114	11963	219	0	336	212	197	16323	0
7	31	1147	22	51	36	0	12	935	29	39	0	19	12	2067	87	0	19	13	34	2420	0
7	32	27541	274	447	542	0	320	15413	247	438	0	454	175	20538	503	0	495	363	350	33101	0
7	33	42336	429	532	857	0	441	24036	274	782	0	688	264	25063	830	0	809	600	472	52445	0
7	34	2	1	4	1	0	1	5	2	1	0	1	1	33	1	0	1	1	4	1	0
